"term","estimate","std.error","statistic","p.value","group"
"itemart_01_r",0.3903,0.0608,6.416,0,"fixed"
"itemart_02_r",1.6964,0.0671,25.2979,0,"fixed"
"itemart_03_r",0.359,0.0607,5.911,0,"fixed"
"itemart_04_r",2.1227,0.0829,25.6057,0,"fixed"
"itemart_05_r",1.0396,0.065,15.9904,0,"fixed"
"itemart_06_r",0.7491,0.0626,11.9605,0,"fixed"
"itemart_07_r",-0.4439,0.0612,-7.2541,0,"fixed"
"itemart_08_r",1.4093,0.0694,20.3137,0,"fixed"
"itemart_09_r",0.1366,0.0603,2.2661,0.0234,"fixed"
"itemart_10_r",1.955,0.079,24.7451,0,"fixed"
"itemart_11_r",-0.2005,0.0604,-3.3176,9e-04,"fixed"
"itemart_12_r",0.9351,0.064,14.6044,0,"fixed"
"itemart_13_r",0.5748,0.0561,10.2442,0,"fixed"
"itemart_14_r",-0.1481,0.0603,-2.4563,0.014,"fixed"
"itemart_15_r",0.8327,0.0576,14.4661,0,"fixed"
"itemcop_01_r",1.5708,0.0652,24.0905,0,"fixed"
"itemcop_02_r",2.9515,0.1094,26.9781,0,"fixed"
"itemcop_03_r",1.2375,0.061,20.2741,0,"fixed"
"itemcop_04_r",0.9104,0.0639,14.2528,0,"fixed"
"itemcop_05_r",-0.778,0.0575,-13.523,0,"fixed"
"itemcop_06_r",1.7003,0.0671,25.3326,0,"fixed"
"itemcop_07_r",3.3057,0.1132,29.1989,0,"fixed"
"itemcop_08_r",1.5561,0.065,23.9431,0,"fixed"
"itemcop_09_r",3.9341,0.1623,24.2375,0,"fixed"
"itemcop_10_r",2.5606,0.0859,29.8023,0,"fixed"
"itemrep_01_r",-0.1107,0.055,-2.0142,0.044,"fixed"
"itemrep_02_r",-0.569,0.0618,-9.2097,0,"fixed"
"itemrep_03_r",1.3588,0.0687,19.7758,0,"fixed"
"itemrep_04_r",0.5748,0.0561,10.2426,0,"fixed"
"itemrep_05_r",0.2411,0.0604,3.989,1e-04,"fixed"
"itemspa1_01_r",1.7023,0.1175,14.493,0,"fixed"
"itemspa1_02_r",0.2369,0.0942,2.5156,0.0119,"fixed"
"itemspa1_03_r",2.2759,0.1386,16.4222,0,"fixed"
"itemspa1_04_r",2.019,0.1281,15.7635,0,"fixed"
"itemspa1_05_r",2.5406,0.1514,16.7804,0,"fixed"
"itemspa1_06_r",2.2032,0.1354,16.2675,0,"fixed"
"itemspa1_07_r",2.2947,0.1393,16.4685,0,"fixed"
"itemspa1_08_r",2.2391,0.1369,16.3566,0,"fixed"
"itemspa1_09_r",2.4539,0.1467,16.7259,0,"fixed"
"itemspa1_10_r",2.019,0.1281,15.7633,0,"fixed"
"itemspa1_11_r",1.8392,0.1217,15.1091,0,"fixed"
"itemspa1_12_r",2.3329,0.1411,16.533,0,"fixed"
"itemspa1_13_r",-0.147,0.0939,-1.5662,0.1173,"fixed"
"itemspa1_14_r",0.5131,0.0957,5.3584,0,"fixed"
"itemspa1_15_r",0.4367,0.0952,4.5879,0,"fixed"
"itemspa1_16_r",1.04,0.1021,10.1821,0,"fixed"
"itemspa1_17_r",1.5872,0.1141,13.9074,0,"fixed"
"itemspa1_18_r",0.163,0.094,1.7344,0.0829,"fixed"
"itemspa1_19_r",1.514,0.1122,13.4951,0,"fixed"
"itemspa1_20_r",0.5732,0.0962,5.9555,0,"fixed"
"itemspa2_01_r",0.2806,0.089,3.1523,0.0016,"fixed"
"itemspa2_02_r",1.0585,0.0959,11.0415,0,"fixed"
"itemspa2_03_r",-0.5776,0.092,-6.278,0,"fixed"
"itemspa2_04_r",0.5928,0.0906,6.5401,0,"fixed"
"itemspa2_05_r",-0.3109,0.0899,-3.4562,5e-04,"fixed"
"itemspa2_06_r",-0.0173,0.0889,-0.1949,0.8454,"fixed"
"itemspa2_07_r",1.1635,0.0976,11.9166,0,"fixed"
"itemspa2_08_r",0.2587,0.089,2.907,0.0036,"fixed"
"itemspa2_09_r",0.2952,0.089,3.3156,9e-04,"fixed"
"itemspa2_10_r",1.894,0.1151,16.4545,0,"fixed"
"itemspa2_11_r",0.1932,0.0889,2.174,0.0297,"fixed"
"itemspa2_12_r",2.0392,0.1199,17.0106,0,"fixed"
"itemspa2_13_r",2.053,0.1203,17.0669,0,"fixed"
"itemspa2_14_r",1.1725,0.0977,12.0026,0,"fixed"
"itemspa2_15_r",2.4647,0.1371,17.9759,0,"fixed"
"itemspa2_16_r",0.9906,0.0949,10.4353,0,"fixed"
"itemspa2_17_r",1.1814,0.0979,12.069,0,"fixed"
"itemspa2_18_r",1.0671,0.096,11.1109,0,"fixed"
"itemspa2_19_r",1.0499,0.0957,10.9658,0,"fixed"
"itemspa2_20_r",0.2806,0.089,3.1534,0.0016,"fixed"
"itemspa3_01_r",1.4865,0.1025,14.5009,0,"fixed"
"itemspa3_02_r",1.8969,0.1143,16.6015,0,"fixed"
"itemspa3_03_r",-0.7056,0.1305,-5.408,0,"fixed"
"itemspa3_04_r",-0.9198,0.0922,-9.9717,0,"fixed"
"itemspa3_05_r",1.0959,0.0946,11.5858,0,"fixed"
"itemspa3_06_r",2.7052,0.1499,18.0511,0,"fixed"
"itemspa3_07_r",1.3893,0.1004,13.8439,0,"fixed"
"itemspa3_08_r",-0.6734,0.13,-5.1815,0,"fixed"
"itemspa3_09_r",1.7417,0.1094,15.9215,0,"fixed"
"itemspa3_10_r",-0.6414,0.1294,-4.9555,0,"fixed"
"itemspa3_11_r",2.1395,0.1229,17.4058,0,"fixed"
"itemspa3_12_r",0.749,0.0899,8.3337,0,"fixed"
"itemspa3_13_r",1.6856,0.1078,15.6421,0,"fixed"
"itemspa3_14_r",1.8721,0.1135,16.4996,0,"fixed"
"itemspa3_15_r",0.3901,0.0869,4.4892,0,"fixed"
"itemspa3_16_r",-0.1472,0.086,-1.7124,0.0868,"fixed"
"itemspa3_17_r",1.2475,0.1446,8.6294,0,"fixed"
"itemspa3_18_r",0.0758,0.0858,0.883,0.3772,"fixed"
"itemspa3_19_r",1.5052,0.1535,9.8055,0,"fixed"
"itemspa3_20_r",0.2592,0.0864,3.0012,0.0027,"fixed"
"sd_(Intercept).id",0.8494,NA,NA,NA,"id"
