"term","estimate","std.error","statistic","p.value","group"
"itemart_01_r",0.2702,0.1012,2.67,0.0076,"fixed"
"itemart_02_r",1.5216,0.1163,13.0879,0,"fixed"
"itemart_03_r",0.3345,0.1062,3.1486,0.0016,"fixed"
"itemart_04_r",1.7963,0.1323,13.5731,0,"fixed"
"itemart_05_r",0.9261,0.1123,8.2487,0,"fixed"
"itemart_06_r",0.6542,0.1087,6.0182,0,"fixed"
"itemart_07_r",-0.6336,0.1075,-5.8941,0,"fixed"
"itemart_08_r",1.1893,0.1167,10.1894,0,"fixed"
"itemart_09_r",0.001,0.1052,0.0096,0.9923,"fixed"
"itemart_10_r",1.7963,0.1323,13.5729,0,"fixed"
"itemart_11_r",-0.3935,0.106,-3.7131,2e-04,"fixed"
"itemart_12_r",0.9366,0.1124,8.3337,0,"fixed"
"itemart_13_r",0.2021,0.0984,2.0534,0.04,"fixed"
"itemart_14_r",-0.4573,0.1064,-4.2992,0,"fixed"
"itemart_15_r",0.5229,0.1004,5.2062,0,"fixed"
"itemcop_01_r",1.3899,0.1133,12.27,0,"fixed"
"itemcop_02_r",2.7403,0.1755,15.6165,0,"fixed"
"itemcop_03_r",1.1198,0.108,10.3685,0,"fixed"
"itemcop_04_r",0.8229,0.1107,7.4356,0,"fixed"
"itemcop_05_r",-0.8481,0.1014,-8.366,0,"fixed"
"itemcop_06_r",1.4112,0.1136,12.4229,0,"fixed"
"itemcop_07_r",2.9255,0.1752,16.6935,0,"fixed"
"itemcop_08_r",1.3687,0.1127,12.1442,0,"fixed"
"itemcop_09_r",3.5715,0.24,14.8807,0,"fixed"
"itemcop_10_r",2.2759,0.1414,16.0995,0,"fixed"
"itemrep_01_r",-0.1373,0.0978,-1.4037,0.1604,"fixed"
"itemrep_02_r",-0.7287,0.1086,-6.7099,0,"fixed"
"itemrep_03_r",1.3564,0.1201,11.2908,0,"fixed"
"itemrep_04_r",0.4294,0.0996,4.3116,0,"fixed"
"itemrep_05_r",0.1083,0.1054,1.0271,0.3044,"fixed"
"itemspa1_01_r",1.5304,0.1822,8.4008,0,"fixed"
"itemspa1_02_r",0.0405,0.155,0.2614,0.7938,"fixed"
"itemspa1_03_r",2.2241,0.217,10.2481,0,"fixed"
"itemspa1_04_r",1.6566,0.1873,8.8449,0,"fixed"
"itemspa1_05_r",2.695,0.2527,10.6627,0,"fixed"
"itemspa1_06_r",2.1798,0.2147,10.1522,0,"fixed"
"itemspa1_07_r",1.9747,0.203,9.7277,0,"fixed"
"itemspa1_08_r",2.4151,0.2301,10.4967,0,"fixed"
"itemspa1_09_r",2.4669,0.2344,10.522,0,"fixed"
"itemspa1_10_r",2.0537,0.2074,9.9013,0,"fixed"
"itemspa1_11_r",1.6244,0.186,8.7347,0,"fixed"
"itemspa1_12_r",2.3651,0.2267,10.4314,0,"fixed"
"itemspa1_13_r",-0.303,0.1561,-1.941,0.0523,"fixed"
"itemspa1_14_r",0.4287,0.1568,2.7345,0.0062,"fixed"
"itemspa1_15_r",0.3849,0.1563,2.4623,0.0138,"fixed"
"itemspa1_16_r",1.1105,0.1685,6.591,0,"fixed"
"itemspa1_17_r",1.4699,0.1799,8.1688,0,"fixed"
"itemspa1_18_r",0.1688,0.1551,1.0888,0.2762,"fixed"
"itemspa1_19_r",1.4999,0.1807,8.2997,0,"fixed"
"itemspa1_20_r",0.5841,0.1586,3.6839,2e-04,"fixed"
"itemspa2_01_r",0.0914,0.1549,0.5899,0.5553,"fixed"
"itemspa2_02_r",0.9776,0.167,5.8534,0,"fixed"
"itemspa2_03_r",-0.9545,0.1654,-5.7705,0,"fixed"
"itemspa2_04_r",0.3119,0.1559,2.0013,0.0454,"fixed"
"itemspa2_05_r",-0.436,0.1568,-2.7802,0.0054,"fixed"
"itemspa2_06_r",-0.3468,0.1554,-2.2316,0.0256,"fixed"
"itemspa2_07_r",1.1938,0.1736,6.8774,0,"fixed"
"itemspa2_08_r",0.1352,0.1549,0.8727,0.3828,"fixed"
"itemspa2_09_r",0.0476,0.1546,0.3081,0.758,"fixed"
"itemspa2_10_r",1.5936,0.189,8.4337,0,"fixed"
"itemspa2_11_r",0.0476,0.1547,0.3077,0.7583,"fixed"
"itemspa2_12_r",1.7341,0.1961,8.8418,0,"fixed"
"itemspa2_13_r",1.7341,0.1963,8.8329,0,"fixed"
"itemspa2_14_r",0.9259,0.1657,5.5875,0,"fixed"
"itemspa2_15_r",2.3438,0.2354,9.9569,0,"fixed"
"itemspa2_16_r",0.5618,0.1591,3.5314,4e-04,"fixed"
"itemspa2_17_r",0.7034,0.1612,4.3627,0,"fixed"
"itemspa2_18_r",0.8502,0.1639,5.1867,0,"fixed"
"itemspa2_19_r",0.9775,0.1673,5.8442,0,"fixed"
"itemspa2_20_r",0.0913,0.1547,0.5904,0.5549,"fixed"
"itemspa3_01_r",1.2437,0.1929,6.4476,0,"fixed"
"itemspa3_02_r",1.7633,0.2224,7.9284,0,"fixed"
"itemspa3_03_r",-1.1521,0.2475,-4.6557,0,"fixed"
"itemspa3_04_r",-1.1867,0.1693,-7.0099,0,"fixed"
"itemspa3_05_r",0.3861,0.1662,2.3229,0.0202,"fixed"
"itemspa3_06_r",2.199,0.2566,8.5704,0,"fixed"
"itemspa3_07_r",0.8945,0.1794,4.9868,0,"fixed"
"itemspa3_08_r",-0.9832,0.2399,-4.0989,0,"fixed"
"itemspa3_09_r",1.3506,0.1982,6.8148,0,"fixed"
"itemspa3_10_r",-0.7675,0.2362,-3.2498,0.0012,"fixed"
"itemspa3_11_r",1.6719,0.2156,7.7559,0,"fixed"
"itemspa3_12_r",0.1215,0.1623,0.7486,0.4541,"fixed"
"itemspa3_13_r",0.9843,0.1832,5.3715,0,"fixed"
"itemspa3_14_r",1.1757,0.1898,6.1943,0,"fixed"
"itemspa3_15_r",0.0515,0.1618,0.3181,0.7504,"fixed"
"itemspa3_16_r",-0.725,0.1627,-4.4546,0,"fixed"
"itemspa3_17_r",1.1783,0.272,4.3312,0,"fixed"
"itemspa3_18_r",-0.4499,0.1603,-2.8068,0.005,"fixed"
"itemspa3_19_r",0.9692,0.2624,3.693,2e-04,"fixed"
"itemspa3_20_r",-0.0639,0.1609,-0.397,0.6914,"fixed"
"genderF",0.0178,0.1193,0.1489,0.8816,"fixed"
"coursespa1",-0.1975,0.0313,-6.3012,0,"fixed"
"coursespa3",0.3962,0.0361,10.9722,0,"fixed"
"languagetype_1",0.4078,0.0812,5.023,0,"fixed"
"languagetype_2",0.2899,0.0978,2.9645,0.003,"fixed"
"languageother",0.2043,0.1005,2.0338,0.042,"fixed"
"itemart_02_r:genderF",-0.0084,0.17,-0.0492,0.9608,"fixed"
"itemart_03_r:genderF",-0.1458,0.1598,-0.9129,0.3613,"fixed"
"itemart_04_r:genderF",0.3453,0.194,1.78,0.0751,"fixed"
"itemart_05_r:genderF",-0.0063,0.1665,-0.038,0.9697,"fixed"
"itemart_06_r:genderF",-0.0365,0.1624,-0.2249,0.8221,"fixed"
"itemart_07_r:genderF",0.1004,0.1608,0.624,0.5326,"fixed"
"itemart_08_r:genderF",0.1626,0.1727,0.9417,0.3464,"fixed"
"itemart_09_r:genderF",0.0221,0.1591,0.1391,0.8894,"fixed"
"itemart_10_r:genderF",0.069,0.1894,0.3644,0.7156,"fixed"
"itemart_11_r:genderF",0.1072,0.1594,0.6726,0.5012,"fixed"
"itemart_12_r:genderF",-0.1821,0.1656,-1.0996,0.2715,"fixed"
"itemart_13_r:genderF",0.2834,0.1522,1.8618,0.0626,"fixed"
"itemart_14_r:genderF",0.2836,0.1596,1.7768,0.0756,"fixed"
"itemart_15_r:genderF",0.1907,0.1543,1.2354,0.2167,"fixed"
"itemcop_01_r:genderF",0,0.1674,1e-04,0.9999,"fixed"
"itemcop_02_r:genderF",0.1589,0.2425,0.6553,0.5122,"fixed"
"itemcop_03_r:genderF",-0.099,0.161,-0.615,0.5385,"fixed"
"itemcop_04_r:genderF",-0.0469,0.1645,-0.2853,0.7754,"fixed"
"itemcop_05_r:genderF",-0.1892,0.1547,-1.2227,0.2215,"fixed"
"itemcop_06_r:genderF",0.1701,0.169,1.0063,0.3143,"fixed"
"itemcop_07_r:genderF",0.3416,0.2471,1.3821,0.1669,"fixed"
"itemcop_08_r:genderF",0.0098,0.1666,0.0591,0.9529,"fixed"
"itemcop_09_r:genderF",0.4281,0.3367,1.2715,0.2035,"fixed"
"itemcop_10_r:genderF",0.173,0.2013,0.8594,0.3901,"fixed"
"itemrep_01_r:genderF",-0.2485,0.1509,-1.6462,0.0997,"fixed"
"itemrep_02_r:genderF",0.0542,0.1621,0.3343,0.7382,"fixed"
"itemrep_03_r:genderF",-0.1745,0.1735,-1.0053,0.3147,"fixed"
"itemrep_04_r:genderF",-0.0631,0.1525,-0.4137,0.6791,"fixed"
"itemrep_05_r:genderF",0.0186,0.1594,0.1166,0.9072,"fixed"
"itemspa1_01_r:genderF",0.2489,0.256,0.9723,0.3309,"fixed"
"itemspa1_02_r:genderF",0.2731,0.2161,1.2638,0.2063,"fixed"
"itemspa1_03_r:genderF",0.0426,0.2955,0.1443,0.8853,"fixed"
"itemspa1_04_r:genderF",0.6101,0.2753,2.216,0.0267,"fixed"
"itemspa1_05_r:genderF",-0.2949,0.3273,-0.901,0.3676,"fixed"
"itemspa1_06_r:genderF",-0.0057,0.2911,-0.0195,0.9844,"fixed"
"itemspa1_07_r:genderF",0.5345,0.296,1.8057,0.071,"fixed"
"itemspa1_08_r:genderF",-0.3282,0.2994,-1.0962,0.273,"fixed"
"itemspa1_09_r:genderF",-0.0668,0.3141,-0.2126,0.8317,"fixed"
"itemspa1_10_r:genderF",-0.1022,0.2792,-0.3662,0.7143,"fixed"
"itemspa1_11_r:genderF",0.3271,0.2634,1.242,0.2142,"fixed"
"itemspa1_12_r:genderF",-0.0984,0.303,-0.3246,0.7455,"fixed"
"itemspa1_13_r:genderF",0.2037,0.2162,0.9419,0.3463,"fixed"
"itemspa1_14_r:genderF",0.0919,0.2185,0.4205,0.6741,"fixed"
"itemspa1_15_r:genderF",0.0382,0.2177,0.1754,0.8608,"fixed"
"itemspa1_16_r:genderF",-0.1596,0.2308,-0.6914,0.4893,"fixed"
"itemspa1_17_r:genderF",0.1528,0.2506,0.6096,0.5421,"fixed"
"itemspa1_18_r:genderF",-0.0564,0.2156,-0.2617,0.7936,"fixed"
"itemspa1_19_r:genderF",-0.0216,0.2478,-0.087,0.9307,"fixed"
"itemspa1_20_r:genderF",-0.0636,0.2199,-0.2891,0.7725,"fixed"
"itemspa2_01_r:genderF",0.097,0.2117,0.4582,0.6468,"fixed"
"itemspa2_02_r:genderF",-0.0634,0.2244,-0.2827,0.7774,"fixed"
"itemspa2_03_r:genderF",0.37,0.2205,1.6781,0.0933,"fixed"
"itemspa2_04_r:genderF",0.237,0.2133,1.1113,0.2664,"fixed"
"itemspa2_05_r:genderF",-0.0013,0.2135,-0.006,0.9952,"fixed"
"itemspa2_06_r:genderF",0.3055,0.2114,1.4452,0.1484,"fixed"
"itemspa2_07_r:genderF",-0.2278,0.2298,-0.9913,0.3215,"fixed"
"itemspa2_08_r:genderF",-0.0017,0.2114,-0.0082,0.9934,"fixed"
"itemspa2_09_r:genderF",0.1849,0.2113,0.875,0.3816,"fixed"
"itemspa2_10_r:genderF",0.2772,0.2561,1.0823,0.2791,"fixed"
"itemspa2_11_r:genderF",0.0311,0.211,0.1473,0.8829,"fixed"
"itemspa2_12_r:genderF",0.2857,0.2652,1.0775,0.2813,"fixed"
"itemspa2_13_r:genderF",0.3082,0.2662,1.1577,0.247,"fixed"
"itemspa2_14_r:genderF",0.188,0.2255,0.8335,0.4046,"fixed"
"itemspa2_15_r:genderF",-0.0015,0.3047,-0.0049,0.9961,"fixed"
"itemspa2_16_r:genderF",0.4704,0.22,2.1377,0.0325,"fixed"
"itemspa2_17_r:genderF",0.553,0.2243,2.4658,0.0137,"fixed"
"itemspa2_18_r:genderF",0.1421,0.2228,0.6379,0.5235,"fixed"
"itemspa2_19_r:genderF",-0.0762,0.2244,-0.3398,0.734,"fixed"
"itemspa2_20_r:genderF",0.097,0.2114,0.459,0.6462,"fixed"
"itemspa3_01_r:genderF",-0.202,0.2449,-0.8246,0.4096,"fixed"
"itemspa3_02_r:genderF",-0.3521,0.2744,-1.2834,0.1993,"fixed"
"itemspa3_03_r:genderF",0.2255,0.3062,0.7364,0.4615,"fixed"
"itemspa3_04_r:genderF",-0.1713,0.2213,-0.7737,0.4391,"fixed"
"itemspa3_05_r:genderF",0.4812,0.2223,2.1643,0.0304,"fixed"
"itemspa3_06_r:genderF",0.1834,0.3281,0.5591,0.5761,"fixed"
"itemspa3_07_r:genderF",0.1614,0.2347,0.6874,0.4918,"fixed"
"itemspa3_08_r:genderF",0.0339,0.2987,0.1134,0.9097,"fixed"
"itemspa3_09_r:genderF",0.0101,0.2543,0.0397,0.9684,"fixed"
"itemspa3_10_r:genderF",-0.2274,0.2971,-0.7654,0.444,"fixed"
"itemspa3_11_r:genderF",0.1234,0.2769,0.4458,0.6557,"fixed"
"itemspa3_12_r:genderF",0.3527,0.2155,1.6367,0.1017,"fixed"
"itemspa3_13_r:genderF",0.479,0.2457,1.9491,0.0513,"fixed"
