"term","estimate","std.error","statistic","p.value","group"
"itemart_02_r:coursespa1",-1.3957,0.1963,-7.1116,0,"fixed"
"itemart_03_r:coursespa1",-0.6309,0.176,-3.5853,3e-04,"fixed"
"itemart_04_r:coursespa1",-1.0289,0.2148,-4.791,0,"fixed"
"itemart_05_r:coursespa1",-0.6559,0.1831,-3.5826,3e-04,"fixed"
"itemart_06_r:coursespa1",-1.3741,0.1799,-7.6387,0,"fixed"
"itemart_07_r:coursespa1",-1.0235,0.1767,-5.791,0,"fixed"
"itemart_08_r:coursespa1",-1.0423,0.1884,-5.531,0,"fixed"
"itemart_09_r:coursespa1",-1.5237,0.1759,-8.6601,0,"fixed"
"itemart_10_r:coursespa1",-0.8146,0.2026,-4.0215,1e-04,"fixed"
"itemart_11_r:coursespa1",-0.9573,0.1763,-5.4297,0,"fixed"
"itemart_12_r:coursespa1",-1.0827,0.1798,-6.0218,0,"fixed"
"itemart_13_r:coursespa1",-0.7565,0.1766,-4.2838,0,"fixed"
"itemart_14_r:coursespa1",-0.8554,0.1758,-4.866,0,"fixed"
"itemart_15_r:coursespa1",-1.0381,0.177,-5.865,0,"fixed"
"itemcop_01_r:coursespa1",-0.8229,0.1963,-4.193,0,"fixed"
"itemcop_02_r:coursespa1",-1.0093,0.2613,-3.8628,1e-04,"fixed"
"itemcop_03_r:coursespa1",-0.764,0.1881,-4.0612,0,"fixed"
"itemcop_04_r:coursespa1",-1.094,0.1806,-6.0588,0,"fixed"
"itemcop_05_r:coursespa1",0.0084,0.1792,0.0466,0.9628,"fixed"
"itemcop_06_r:coursespa1",-2.1372,0.1967,-10.8645,0,"fixed"
"itemcop_07_r:coursespa1",-0.8478,0.2928,-2.8958,0.0038,"fixed"
"itemcop_08_r:coursespa1",-0.8049,0.1892,-4.2543,0,"fixed"
"itemcop_09_r:coursespa1",-0.3116,0.385,-0.8094,0.4183,"fixed"
"itemcop_10_r:coursespa1",-0.9733,0.2297,-4.2369,0,"fixed"
"itemrep_01_r:coursespa1",-0.8406,0.1761,-4.7744,0,"fixed"
"itemrep_02_r:coursespa1",-0.8283,0.1792,-4.6222,0,"fixed"
"itemrep_03_r:coursespa1",-1.2583,0.1896,-6.6382,0,"fixed"
"itemrep_04_r:coursespa1",-1.0795,0.1763,-6.1241,0,"fixed"
"itemrep_05_r:coursespa1",-1.9655,0.1774,-11.0827,0,"fixed"
"itemart_02_r:coursespa3",0.0648,0.2071,0.313,0.7542,"fixed"
"itemart_03_r:coursespa3",0.7016,0.2057,3.411,6e-04,"fixed"
"itemart_04_r:coursespa3",0.1211,0.2589,0.4675,0.6401,"fixed"
"itemart_05_r:coursespa3",0.3997,0.2145,1.8636,0.0624,"fixed"
"itemart_06_r:coursespa3",-0.2437,0.2083,-1.1695,0.2422,"fixed"
"itemart_07_r:coursespa3",-0.103,0.2045,-0.5035,0.6146,"fixed"
"itemart_08_r:coursespa3",0.5097,0.2338,2.1799,0.0293,"fixed"
"itemart_09_r:coursespa3",-0.322,0.2022,-1.5921,0.1114,"fixed"
"itemart_10_r:coursespa3",1.355,0.3027,4.4759,0,"fixed"
"itemart_11_r:coursespa3",0.6779,0.2029,3.3417,8e-04,"fixed"
"itemart_12_r:coursespa3",0.7934,0.2234,3.5514,4e-04,"fixed"
"itemart_13_r:coursespa3",0.4786,0.1829,2.617,0.0089,"fixed"
"itemart_14_r:coursespa3",0.6402,0.2027,3.1588,0.0016,"fixed"
"itemart_15_r:coursespa3",1.0451,0.1906,5.4824,0,"fixed"
"itemcop_01_r:coursespa3",-0.0383,0.1973,-0.1943,0.846,"fixed"
"itemcop_02_r:coursespa3",0.5327,0.3596,1.4813,0.1385,"fixed"
"itemcop_03_r:coursespa3",-0.027,0.1897,-0.1425,0.8867,"fixed"
"itemcop_04_r:coursespa3",0.1911,0.2121,0.9006,0.3678,"fixed"
"itemcop_05_r:coursespa3",-0.325,0.1905,-1.7062,0.088,"fixed"
"itemcop_06_r:coursespa3",0.302,0.2223,1.3586,0.1743,"fixed"
"itemcop_07_r:coursespa3",0.2382,0.2974,0.801,0.4232,"fixed"
"itemcop_08_r:coursespa3",0.7788,0.2031,3.8352,1e-04,"fixed"
"itemcop_09_r:coursespa3",0.6368,0.4855,1.3118,0.1896,"fixed"
"itemcop_10_r:coursespa3",0.4429,0.2477,1.7877,0.0738,"fixed"
"itemrep_01_r:coursespa3",0.4541,0.1807,2.5134,0.012,"fixed"
"itemrep_02_r:coursespa3",0.5784,0.2041,2.8344,0.0046,"fixed"
"itemrep_03_r:coursespa3",-0.0279,0.2239,-0.1248,0.9007,"fixed"
"itemrep_04_r:coursespa3",0.4677,0.1839,2.5431,0.011,"fixed"
"itemrep_05_r:coursespa3",-0.2458,0.2045,-1.2023,0.2293,"fixed"
"sd_(Intercept).id",0.858,NA,NA,NA,"id"
