"term","estimate","std.error","statistic","p.value","group"
"itemart_01_r",-0.0609,0.0931,-0.6543,0.5129,"fixed"
"itemart_02_r",1.6953,0.1201,14.111,0,"fixed"
"itemart_03_r",-0.01,0.097,-0.1033,0.9177,"fixed"
"itemart_04_r",2.023,0.1309,15.4484,0,"fixed"
"itemart_05_r",0.7435,0.1015,7.3216,0,"fixed"
"itemart_06_r",0.8521,0.103,8.2752,0,"fixed"
"itemart_07_r",-0.5095,0.0983,-5.1859,0,"fixed"
"itemart_08_r",1.2442,0.1093,11.3803,0,"fixed"
"itemart_09_r",0.3067,0.0981,3.1274,0.0018,"fixed"
"itemart_10_r",1.5986,0.1176,13.5971,0,"fixed"
"itemart_11_r",-0.4497,0.0978,-4.5975,0,"fixed"
"itemart_12_r",0.7353,0.1015,7.2467,0,"fixed"
"itemart_13_r",0.2174,0.0975,2.2301,0.0257,"fixed"
"itemart_14_r",-0.4274,0.0978,-4.3703,0,"fixed"
"itemart_15_r",0.3971,0.0985,4.0315,1e-04,"fixed"
"itemcop_01_r",1.4191,0.1129,12.5681,0,"fixed"
"itemcop_02_r",2.7806,0.1672,16.6352,0,"fixed"
"itemcop_03_r",1.0636,0.106,10.0318,0,"fixed"
"itemcop_04_r",0.8183,0.1024,7.9895,0,"fixed"
"itemcop_05_r",-1.119,0.1043,-10.7274,0,"fixed"
"itemcop_06_r",1.9347,0.1277,15.1472,0,"fixed"
"itemcop_07_r",3.0717,0.1852,16.5836,0,"fixed"
"itemcop_08_r",1.138,0.1073,10.6039,0,"fixed"
"itemcop_09_r",3.501,0.22,15.9105,0,"fixed"
"itemcop_10_r",2.3049,0.1423,16.1943,0,"fixed"
"itemrep_01_r",-0.4422,0.0979,-4.5174,0,"fixed"
"itemrep_02_r",-0.8507,0.1011,-8.418,0,"fixed"
"itemrep_03_r",1.3766,0.1121,12.2835,0,"fixed"
"itemrep_04_r",0.3217,0.098,3.2837,0.001,"fixed"
"itemrep_05_r",0.5669,0.0998,5.6799,0,"fixed"
"itemspa1_01_r",0.661,0.1744,3.7913,1e-04,"fixed"
"itemspa1_02_r",-0.8075,0.1597,-5.0579,0,"fixed"
"itemspa1_03_r",1.2354,0.1891,6.5336,0,"fixed"
"itemspa1_04_r",0.9782,0.1815,5.3897,0,"fixed"
"itemspa1_05_r",1.5002,0.1987,7.5483,0,"fixed"
"itemspa1_06_r",1.1625,0.1869,6.2189,0,"fixed"
"itemspa1_07_r",1.2541,0.1896,6.6137,0,"fixed"
"itemspa1_08_r",1.1985,0.188,6.3743,0,"fixed"
"itemspa1_09_r",1.4135,0.1951,7.2459,0,"fixed"
"itemspa1_10_r",0.9782,0.1815,5.3882,0,"fixed"
"itemspa1_11_r",0.7981,0.1771,4.5071,0,"fixed"
"itemspa1_12_r",1.2924,0.1908,6.7734,0,"fixed"
"itemspa1_13_r",-1.1925,0.1595,-7.478,0,"fixed"
"itemspa1_14_r",-0.5306,0.1606,-3.3047,0.001,"fixed"
"itemspa1_15_r",-0.6072,0.1604,-3.7845,2e-04,"fixed"
"itemspa1_16_r",-0.0025,0.1645,-0.015,0.9881,"fixed"
"itemspa1_17_r",0.5457,0.1723,3.1676,0.0015,"fixed"
"itemspa1_18_r",-0.8816,0.1596,-5.5249,0,"fixed"
"itemspa1_19_r",0.4724,0.1707,2.7679,0.0056,"fixed"
"itemspa1_20_r",-0.4703,0.161,-2.9213,0.0035,"fixed"
"itemspa2_01_r",0.1142,0.0974,1.1731,0.2407,"fixed"
"itemspa2_02_r",0.8949,0.1036,8.6417,0,"fixed"
"itemspa2_03_r",-0.7473,0.1001,-7.4674,0,"fixed"
"itemspa2_04_r",0.4276,0.0988,4.3285,0,"fixed"
"itemspa2_05_r",-0.4795,0.098,-4.8919,0,"fixed"
"itemspa2_06_r",-0.1849,0.0971,-1.9038,0.0569,"fixed"
"itemspa2_07_r",1.0002,0.1052,9.5124,0,"fixed"
"itemspa2_08_r",0.0922,0.0973,0.948,0.3431,"fixed"
"itemspa2_09_r",0.1289,0.0973,1.3245,0.1853,"fixed"
"itemspa2_10_r",1.7329,0.1215,14.2634,0,"fixed"
"itemspa2_11_r",0.0264,0.0971,0.2722,0.7855,"fixed"
"itemspa2_12_r",1.8784,0.126,14.9112,0,"fixed"
"itemspa2_13_r",1.8923,0.1265,14.9566,0,"fixed"
"itemspa2_14_r",1.0092,0.1053,9.5867,0,"fixed"
"itemspa2_15_r",2.3049,0.1423,16.1949,0,"fixed"
"itemspa2_16_r",0.8267,0.1027,8.05,0,"fixed"
"itemspa2_17_r",1.0182,0.1055,9.6549,0,"fixed"
"itemspa2_18_r",0.9035,0.1036,8.7204,0,"fixed"
"itemspa2_19_r",0.8863,0.1035,8.5669,0,"fixed"
"itemspa2_20_r",0.1142,0.0973,1.1739,0.2404,"fixed"
"itemspa3_01_r",1.3606,0.1744,7.7997,0,"fixed"
"itemspa3_02_r",1.7726,0.1814,9.7704,0,"fixed"
"itemspa3_03_r",-0.7408,0.1914,-3.8702,1e-04,"fixed"
"itemspa3_04_r",-1.0561,0.1686,-6.2639,0,"fixed"
"itemspa3_05_r",0.9684,0.1701,5.6932,0,"fixed"
"itemspa3_06_r",2.5837,0.2058,12.5565,0,"fixed"
"itemspa3_07_r",1.2631,0.173,7.3003,0,"fixed"
"itemspa3_08_r",-0.7084,0.1907,-3.7148,2e-04,"fixed"
"itemspa3_09_r",1.6168,0.1784,9.0624,0,"fixed"
"itemspa3_10_r",-0.6762,0.1903,-3.5527,4e-04,"fixed"
"itemspa3_11_r",2.016,0.1872,10.7689,0,"fixed"
"itemspa3_12_r",0.62,0.1672,3.7091,2e-04,"fixed"
"itemspa3_13_r",1.5605,0.1774,8.7947,0,"fixed"
"itemspa3_14_r",1.7477,0.1807,9.6729,0,"fixed"
"itemspa3_15_r",0.2595,0.1655,1.5677,0.1169,"fixed"
"itemspa3_16_r",-0.2801,0.1653,-1.6947,0.0901,"fixed"
"itemspa3_17_r",1.2232,0.2012,6.08,0,"fixed"
"itemspa3_18_r",-0.0561,0.1651,-0.3398,0.734,"fixed"
"itemspa3_19_r",1.4821,0.2076,7.1378,0,"fixed"
"itemspa3_20_r",0.1281,0.1652,0.7755,0.438,"fixed"
"coursespa1",0.7794,0.1252,6.2244,0,"fixed"
"coursespa3",0.098,0.1386,0.7068,0.4797,"fixed"
"genderF",0.0807,0.054,1.493,0.1354,"fixed"
"languagetype_1",0.4075,0.0816,4.9938,0,"fixed"
"languagetype_2",0.291,0.0984,2.9586,0.0031,"fixed"
"languageother",0.2054,0.101,2.0328,0.0421,"fixed"
