term,estimate,std.error,lower,upper
b_Intercept,4.120648733730604,0.08242860540714031,3.986055474289341,4.256304078782996
b_courseSPA_2,0.03673842483866245,0.05839785862646198,-0.05943822845776992,0.1332977013130648
b_courseSPA_3,0.1551875522179462,0.05925782209613679,0.05833450154007681,0.25246087874638157
b_regularityopaque,-0.8420662271305529,0.05363008425910032,-0.9315745316106312,-0.7553365296566493
b_regularityreverse,-1.3466517853417526,0.08522394873293815,-1.4880944512865293,-1.2078947958003585
b_languageother,0.2551617787437452,0.126890159864941,0.04792316591456061,0.461654149224101
b_languagetype_1,0.5265928620174536,0.09910873704778886,0.3646891526552401,0.6887695681986604
b_languagetype_2,-0.1492664029227843,0.1050823750345298,-0.3215324351200161,0.0243757161532188
b_span,-0.26989602876422375,0.019631883351068375,-0.3029457920545887,-0.2383077172395058
b_stud_gendF,-0.014901559423856106,0.06186208002502122,-0.11545791433297217,0.08556029516626991
b_pos_headADJ,-2.473365389755984,0.11886620916623027,-2.668036051448384,-2.2785787295533253
b_pos_headDET,-1.8306086981986507,0.11975651683871566,-2.0195042003509234,-1.6327185496463186
b_pos_headPRON,-0.7143839034229699,0.2718897377901747,-1.1507245759871199,-0.2510851541754733
b_pos_headPROPN,-2.888169453354386,0.25148910330830504,-3.302484225071912,-2.4809723505434356
b_pos_depMUADJMU,0.42745296058940174,1.111568853153683,-1.4155681760984515,2.2595695148426875
b_pos_depADJ,-0.7670794984691625,0.06282158396097236,-0.8692905425596956,-0.6616329506965837
b_pos_depNOUN,-2.04214223447547,0.13540582204855542,-2.26383903917223,-1.8177672184016793
b_pos_depPRON,-1.35498054911511,0.19559057726945542,-1.671644805635312,-1.0294849320157446
b_pos_depPROPN,-1.1398047010432788,0.10971306123949973,-1.3212147096858025,-0.958939150594603
b_gend_headFem,-1.6921630285229732,0.05590447995877513,-1.7819616393289268,-1.5995430503480474
b_gend_depFem,0.9689206131638298,0.05522531707116468,0.8797262255618417,1.0577899703141396
b_pos_headADJ:pos_depMUADJMU,0.43921481215944064,1.116784339944342,-1.385382422642915,2.264859312319147
b_pos_headDET:pos_depMUADJMU,0.005738107313368345,1.5424224713624388,-2.472576293688549,2.5273844138505073
b_pos_headPRON:pos_depMUADJMU,0.02064101950702705,1.5321634603570804,-2.4915368703849903,2.4590021802936577
b_pos_headPROPN:pos_depMUADJMU,0.0101776467684972,1.5530191498039916,-2.561987700918345,2.5585095811846563
b_pos_headADJ:pos_depADJ,2.902898323605794,0.21904292904626677,2.5444996052192512,3.2581938203557095
b_pos_headDET:pos_depADJ,-0.5360432389015226,0.7841158318281645,-1.8940124548495747,0.7043876929956336
b_pos_headPRON:pos_depADJ,-0.6432318596084429,0.5390802273089612,-1.518948428559857,0.23779673593179163
b_pos_headPROPN:pos_depADJ,1.1156127866444705,0.3812071922052113,0.5014655623302819,1.7531472009253841
b_pos_headADJ:pos_depNOUN,2.3837351274741376,0.1795104359366833,2.084383471156872,2.676115443940732
b_pos_headDET:pos_depNOUN,2.0643731364942943,0.22320516886320804,1.7018878037714644,2.425857183219251
b_pos_headPRON:pos_depNOUN,1.6972098638305242,1.1166030387240193,-0.056347182189547276,3.583661370593997
b_pos_headPROPN:pos_depNOUN,3.0578759578752974,0.36573631542373614,2.4569066111747286,3.660760186632158
b_pos_headADJ:pos_depPRON,2.9552478461910057,0.2858455992175618,2.4876428668505746,3.4300435593602443
b_pos_headDET:pos_depPRON,1.2299828801789163,0.4066238283934757,0.5580754352137131,1.8940947236437289
b_pos_headPRON:pos_depPRON,0.703663956952278,1.3069455696537868,-1.414506164528818,2.875031374601164
b_pos_headPROPN:pos_depPRON,1.8198024632136192,0.791712282360963,0.5413044511148208,3.120904155819272
b_pos_headADJ:pos_depPROPN,2.373902784563635,0.18683677641257548,2.063634951574584,2.6810979636758305
b_pos_headDET:pos_depPROPN,0.22361195777922682,0.23889750416228012,-0.17752408397405656,0.6136855229107188
b_pos_headPRON:pos_depPROPN,-1.048211409354606,1.1886152333396889,-2.9327185060102963,0.9933300496075907
b_pos_headPROPN:pos_depPROPN,0.5792759118186741,0.6957076617816723,-0.5859061767429213,1.7163559436760045
sd_sis__Intercept,0.6335259950652812,0.0326037189646724,0.5808029418942112,0.688073606402089
"r_sis[912000868,Intercept]",0.3098327041381462,0.5658271896613858,-0.6101753641666224,1.229038198965743
"r_sis[912005290,Intercept]",0.23597635991073698,0.5658599888839949,-0.6763585822198259,1.1737611514725736
"r_sis[912011022,Intercept]",0.03191143276981862,0.5342986804503036,-0.8285247618921641,0.9081066709452482
"r_sis[912015280,Intercept]",-0.11326659823250189,0.48917710255222135,-0.8877721397791841,0.7142017033611555
"r_sis[912025018,Intercept]",0.09315982960381775,0.4857781132088181,-0.6820183437267208,0.9252682287162296
"r_sis[912065638,Intercept]",0.06483307830503464,0.5635352148348926,-0.8735381089600079,1.004463542636602
"r_sis[912073358,Intercept]",0.11921484615950256,0.519959956809636,-0.7434786752608135,0.9934736858519068
"r_sis[912080765,Intercept]",0.09123265514862296,0.5173055440179141,-0.7389932641113784,0.9547641945335881
"r_sis[912085841,Intercept]",-0.399220100617581,0.43835828430449203,-1.0992055141114399,0.33024840427310087
"r_sis[912087043,Intercept]",0.35875308367541586,0.5531210395839169,-0.5091487209686532,1.2795204361620847
"r_sis[912093875,Intercept]",0.16417998222023888,0.4772359406476119,-0.5943644572939998,0.9688140823434386
"r_sis[912114916,Intercept]",0.8311593669701777,0.48604602607844716,0.051839186438536314,1.6536762701950956
"r_sis[912143699,Intercept]",0.3604692629126294,0.548609868586451,-0.5401626900445843,1.3051208914393913
"r_sis[912150080,Intercept]",0.715011012335181,0.4451707741202341,0.008871605236035134,1.4791933027763278
"r_sis[912165732,Intercept]",0.12705986203046915,0.5508106494176018,-0.7613703094109768,1.0582294358829918
"r_sis[912174367,Intercept]",-0.17192288676733303,0.4319606577951992,-0.8686369710092361,0.5601240616511122
"r_sis[912181923,Intercept]",0.3486838908970688,0.5258440412689002,-0.4878874503553462,1.240363373857655
"r_sis[912197234,Intercept]",0.30423686203775235,0.44536290182145916,-0.41494250691384954,1.0353077910117914
"r_sis[912201463,Intercept]",0.2677505464056788,0.5488641552151647,-0.6302598695763615,1.2069721396795572
"r_sis[912204570,Intercept]",0.4035547780076177,0.5411581469512007,-0.45827132519771585,1.3194250097469382
"r_sis[912214502,Intercept]",0.7442834295867674,0.5003781673998118,-0.0200949955377331,1.5864204648981641
"r_sis[912232542,Intercept]",0.13808153601720247,0.5299013413358804,-0.7169854653772413,1.0378655768748337
"r_sis[912246460,Intercept]",-0.9131977052424831,0.5057253629598769,-1.7379972746875736,-0.06118529259136049
"r_sis[912252577,Intercept]",0.19177158127521268,0.5819254233491844,-0.7305508776713072,1.1849495838506494
"r_sis[912271396,Intercept]",-0.7817185885329322,0.5064065312636363,-1.6007433492846623,0.054756167803598176
"r_sis[912280565,Intercept]",-0.05212283539340765,0.5114285188688238,-0.8787285817704271,0.7890030379310091
"r_sis[912301716,Intercept]",0.05002464903791553,0.5302688739796844,-0.7896180758798632,0.9201676641971722
"r_sis[912307150,Intercept]",0.056049330601081436,0.538668869976185,-0.796518215560185,0.9556322330221629
"r_sis[912308531,Intercept]",-0.5440751227723638,0.4737304601669609,-1.2967186496133083,0.2461224263791028
"r_sis[912309365,Intercept]",0.2452321543371456,0.568554481908214,-0.6629217034248929,1.1670040108321726
"r_sis[912314198,Intercept]",0.2930586569844427,0.4807742766006634,-0.4746325857300648,1.102817559220172
"r_sis[912330965,Intercept]",-0.25908195003266676,0.4942138148298717,-1.0509317355688583,0.573940796290609
"r_sis[912331689,Intercept]",0.042114649056420504,0.5236497830165927,-0.802036634573445,0.92154005618753
"r_sis[912582933,Intercept]",0.22753304742116284,0.5241133329325043,-0.6057605903999723,1.0974041541335398
"r_sis[912598176,Intercept]",-0.12746597657521216,0.5193751064543247,-0.9542712971843581,0.7295793021331769
"r_sis[912650881,Intercept]",-0.5648633003171971,0.49565270919097465,-1.3723476047515735,0.25382210763090807
"r_sis[912651851,Intercept]",0.3859729568185741,0.5498493863566449,-0.4978551643844928,1.2997855477311544
"r_sis[912654942,Intercept]",0.3935838356464449,0.5448773554689071,-0.4861802899672542,1.299764930403468
"r_sis[912659691,Intercept]",0.27732211943871565,0.5488116082832609,-0.6119046017115752,1.1683773604572292
"r_sis[912667913,Intercept]",-0.1734388393659658,0.5140804348606904,-1.0035952438853537,0.6850345746136401
"r_sis[912672416,Intercept]",0.31958615678010127,0.5659726367007447,-0.5661865084059435,1.2737604886116207
"r_sis[912675882,Intercept]",0.2312881801382882,0.5208457995383464,-0.5831513945693888,1.0879601167040178
"r_sis[912679370,Intercept]",-0.35291241615014474,0.3222315543337492,-0.8589471915017413,0.19178822685123234
"r_sis[912680589,Intercept]",-0.7500031957491602,0.3541118454610635,-1.317726901103814,-0.16298875302396687
"r_sis[912685649,Intercept]",-0.14150505002212263,0.47366805623384095,-0.9014983272455377,0.6485858589839703
"r_sis[912688439,Intercept]",0.6089026449385483,0.468687474288118,-0.13399749245793915,1.4167159238579485
"r_sis[912692483,Intercept]",0.020127243681635116,0.5305370647353324,-0.8263256633912375,0.8858939838239036
"r_sis[912695286,Intercept]",-0.6162786081028102,0.4285015781330516,-1.3207560443951398,0.09608701450989465
"r_sis[912695532,Intercept]",-0.5662569514171222,0.4237800687543636,-1.243774622266561,0.1493773307296326
"r_sis[912697284,Intercept]",0.10850463585345116,0.5235348773464917,-0.7389549116156305,0.9786923789587428
"r_sis[912699677,Intercept]",-0.18050695250672083,0.523109071384375,-1.023484117543078,0.6926868475573817
"r_sis[912702904,Intercept]",-0.3585047422798503,0.4277717900186814,-1.0377829226790436,0.3663705575848758
"r_sis[912708966,Intercept]",-0.1959287949835954,0.4708995541597119,-0.958391818835044,0.592525312216101
"r_sis[912712156,Intercept]",-0.17967676795803342,0.4539824724598346,-0.9130401357789182,0.5863226527060413
"r_sis[912719609,Intercept]",-1.2008621645047233,0.4293238230636146,-1.8855736527343774,-0.48866415477419
"r_sis[912721998,Intercept]",-0.17046313386493261,0.4949639281272411,-0.951204042426265,0.6591200118139232
"r_sis[912722502,Intercept]",-1.049482080829259,0.4371303464470546,-1.7686196482737953,-0.3193353176934621
