term,estimate,std.error,lower,upper
b_Intercept,3.960706395502652,0.08370733116040717,3.8234174428649075,4.101508447989658
b_courseSPA_2,0.027913463731784056,0.057762187125522675,-0.06587478082695913,0.12231764033923627
b_courseSPA_3,0.14411762256997332,0.05853101209476536,0.04837134121130459,0.23993762534261653
b_regularityopaque,-0.6385841680352996,0.07879643359783321,-0.7705643225917208,-0.5097772010155369
b_regularityreverse,-1.6588486417487902,0.10292392574551572,-1.8269182047179036,-1.4861689527013637
b_gend_headFem,-1.586939697249953,0.06332991124729913,-1.6927305214830806,-1.4824718723516335
b_stud_gendF,-9.331481624493353e-4,0.06181062791859079,-0.10429253366314345,0.09992183194578802
b_languageother,0.2980890128332034,0.12424036119155865,0.09601108475412667,0.5024590377689448
b_languagetype_1,0.5470847705210609,0.0989641487033463,0.39188096469143835,0.7115774819204376
b_languagetype_2,-0.1841659014934926,0.1068048452163592,-0.36055485998422565,-0.011317361194063702
b_span,-0.29571148897193816,0.018787656278375406,-0.32699035024132295,-0.26498582906966944
b_pos_headADJ,-0.740005169369629,0.0734189402172847,-0.8614379100669818,-0.6194503350366865
b_pos_headDET,-1.4158956107107497,0.093522005606643685,-1.5694905693554602,-1.2616593894983772
b_pos_headPRON,-0.7644464997139814,0.2197752981201127,-1.119469215066268,-0.3973741799706967
b_pos_headPROPN,-1.666226230751038,0.15626787188113428,-1.9201047445518855,-1.4096103281753973
b_gend_depFem,0.9760624615094107,0.05545776502524036,0.8847542832523705,1.0672142481346172
b_pos_depMUADJMU,-0.6619188601436612,0.18827925720568714,-0.9635996747296649,-0.3532825131346816
b_pos_depADJ,-0.4686950410994003,0.060714352547676556,-0.5683746232284009,-0.3683690145543856
b_pos_depNOUN,-1.1426699809310477,0.08681988113307076,-1.287695914012457,-1.001271435615348
b_pos_depPRON,-0.5118223510689011,0.13334298540147776,-0.7294721091647484,-0.29113209318829497
b_pos_depPROPN,-0.7703280517253739,0.08498951754027458,-0.9057395221015784,-0.6272063369047145
b_regularityopaque:gend_headFem,-0.34896360862906417,0.0988547757184162,-0.5145599226213465,-0.18985199501736943
b_regularityreverse:gend_headFem,0.9466867451327572,0.1675589160088763,0.6745049682356405,1.2258398967493256
sd_sis__Intercept,0.6393853810834453,0.032320415711814036,0.5871285598817353,0.6930509526116805
"r_sis[912000868,Intercept]",0.29752231772146787,0.5681265109145021,-0.6288156922647417,1.2465414569840976
"r_sis[912005290,Intercept]",0.27695115962148287,0.5730473124878401,-0.6490567903769457,1.2404308189994935
"r_sis[912011022,Intercept]",0.01066409787013174,0.5445016938078285,-0.8693998320716377,0.9129765507016264
"r_sis[912015280,Intercept]",-0.09018236800745248,0.48804954193825956,-0.8807241114448228,0.7304175220416197
"r_sis[912025018,Intercept]",0.13274237249494011,0.4832745260003361,-0.645898037332862,0.9653346606048597
"r_sis[912065638,Intercept]",0.03639332614348574,0.5615395731589723,-0.8737944428665874,0.9603324659498423
"r_sis[912073358,Intercept]",0.11696749486334249,0.5266242327182025,-0.7372025010941291,0.9875182532448428
"r_sis[912080765,Intercept]",0.13827536557881911,0.4991293518974109,-0.6669533905725952,0.9874293702384307
"r_sis[912085841,Intercept]",-0.40897275510156034,0.42384785765720534,-1.099006499232659,0.29470298056822414
"r_sis[912087043,Intercept]",0.40103571265923493,0.5550111921685245,-0.490987356299133,1.3341418388865438
"r_sis[912093875,Intercept]",0.20092913392015685,0.48039302921075355,-0.5679645898264583,1.0091618779700153
"r_sis[912114916,Intercept]",0.7335776181236294,0.5037979904860292,-0.06747089655103991,1.5932936270531328
"r_sis[912143699,Intercept]",0.3814105487428209,0.5557553414845812,-0.5272502326616251,1.3178102831629575
"r_sis[912150080,Intercept]",0.7887944815002761,0.43911662971162985,0.08893828353197465,1.5489654599808367
"r_sis[912165732,Intercept]",0.2040854194069989,0.5497886304638738,-0.6946905980688309,1.1311878581368024
"r_sis[912174367,Intercept]",-0.2334008655511399,0.41465044958504543,-0.9062110726189918,0.46144023914378174
"r_sis[912181923,Intercept]",0.19429966793661327,0.5359563558088013,-0.6544208955665,1.0785651992695071
"r_sis[912197234,Intercept]",0.291873959823776,0.45990949397961967,-0.44106274651118743,1.0740906360237337
"r_sis[912201463,Intercept]",0.26923745711325126,0.5938072493046702,-0.6739533839165588,1.2514388669075152
"r_sis[912204570,Intercept]",0.40875150196982113,0.5700947161053403,-0.5082137031394472,1.3802261353778835
"r_sis[912214502,Intercept]",0.8239498111264285,0.5180785413236846,-0.014625187924763763,1.7165549897795997
"r_sis[912232542,Intercept]",0.14596785259029035,0.5403689453585275,-0.7289130775036893,1.0406017682649689
"r_sis[912246460,Intercept]",-0.9989643328620882,0.5046243620660483,-1.8119221290173166,-0.15140299469477425
"r_sis[912252577,Intercept]",0.19365225075483827,0.592743360455823,-0.7617386600381988,1.203595661083892
"r_sis[912271396,Intercept]",-0.8146027434189573,0.5121980838475247,-1.6525143285999842,0.027937829042925754
"r_sis[912280565,Intercept]",-0.05941337584684439,0.4935253116977294,-0.8556741050173635,0.7682330800487942
"r_sis[912301716,Intercept]",0.05687749014486885,0.5389443703278687,-0.8048919117964123,0.9477855942389775
"r_sis[912307150,Intercept]",0.07425463302677689,0.5390049011802663,-0.7969273727195614,0.9750708625609363
"r_sis[912308531,Intercept]",-0.5614907509200973,0.45585241863272513,-1.3052066641752504,0.1976699056171956
"r_sis[912309365,Intercept]",0.24502321372664304,0.5838050707575111,-0.7002642334068394,1.2318399461628704
"r_sis[912314198,Intercept]",0.35076259482216154,0.48368476806496413,-0.43486668551165153,1.164076592247635
"r_sis[912330965,Intercept]",-0.3093066473060577,0.5026373980082628,-1.1289414211367423,0.5231385616220151
"r_sis[912331689,Intercept]",0.06338434808542863,0.5303855475833955,-0.7916539841267908,0.9638406469329273
"r_sis[912582933,Intercept]",0.21514077309998608,0.530093075426728,-0.6376418149962869,1.1137387572727548
"r_sis[912598176,Intercept]",-0.19014034357827606,0.5233938259329339,-1.033346556220137,0.6890913932214677
"r_sis[912650881,Intercept]",-0.6391621501681419,0.4947572916106648,-1.432890208164762,0.20815687851451734
"r_sis[912651851,Intercept]",0.4453601847800515,0.5419197442938202,-0.41172711704183446,1.3708265779946602
"r_sis[912654942,Intercept]",0.35374649928532637,0.5488975230294826,-0.522112195707916,1.2522034745130965
"r_sis[912659691,Intercept]",0.30257559334957307,0.5696814685991244,-0.6075553356222285,1.25275791090134
"r_sis[912667913,Intercept]",-0.16344078062983025,0.5156426515068312,-1.0190852643507782,0.6987630288390891
"r_sis[912672416,Intercept]",0.3217392773319718,0.5643301131679467,-0.5911238370372558,1.2576057531495237
"r_sis[912675882,Intercept]",0.23440008158509512,0.5122951013691632,-0.5771004804889274,1.1049196800104653
"r_sis[912679370,Intercept]",-0.32466848029905576,0.3058812553836212,-0.8120512429979613,0.1954945712109119
"r_sis[912680589,Intercept]",-0.671711216349775,0.37311445156299144,-1.271268750904892,-0.043781031469156746
"r_sis[912685649,Intercept]",-0.19096040457461716,0.48525675004762836,-0.9599286062732765,0.6219227689339083
"r_sis[912688439,Intercept]",0.676815874407728,0.4797130447019096,-0.09982182710963454,1.4838491626696833
"r_sis[912692483,Intercept]",0.03348378803127159,0.5534190515731076,-0.848262850877754,0.9595195995587581
"r_sis[912695286,Intercept]",-0.5879237964215807,0.42874238037906515,-1.2655288272395562,0.12789389521605884
"r_sis[912695532,Intercept]",-0.5957146693188383,0.4518787276375759,-1.3259184733295095,0.17000024107532657
"r_sis[912697284,Intercept]",0.07178121617243544,0.5398414862471319,-0.785174081692526,0.9709616289765663
"r_sis[912699677,Intercept]",-0.1706809524864427,0.4964398818261284,-0.947074075074441,0.6832118568757105
"r_sis[912702904,Intercept]",-0.4740018271324417,0.4226709035825984,-1.1488734037740334,0.2217737293600678
"r_sis[912708966,Intercept]",-0.07648488410776642,0.47342676847089754,-0.8281483726537072,0.709191042942919
"r_sis[912712156,Intercept]",-0.1952456921897455,0.4367256884205797,-0.8983185526353917,0.523546347377582
"r_sis[912719609,Intercept]",-1.0800294123717291,0.40978853306112095,-1.7382168657378154,-0.3963922950462132
"r_sis[912721998,Intercept]",-0.2317996932977484,0.4914084556711961,-1.0230262835633286,0.5910837735055129
"r_sis[912722502,Intercept]",-1.1747945494796632,0.4176139049315189,-1.862210124357962,-0.48870107696231624
"r_sis[912723941,Intercept]",-0.668732973084559,0.5570984342484002,-1.5833573379657355,0.2539309096813428
"r_sis[912725198,Intercept]",-0.5654102641220232,0.5195080424358942,-1.4092725579551908,0.2978876580511636
"r_sis[912727073,Intercept]",-0.0734116685797155,0.5721389773857591,-0.9928324281622933,0.8869415813611119
"r_sis[912739906,Intercept]",0.40854460346801547,0.5413970264961329,-0.45589221393884993,1.3358104970375184
"r_sis[912743918,Intercept]",0.2514355801146614,0.5145463370892516,-0.5845078532923527,1.1143194815403366
"r_sis[912754842,Intercept]",0.16358677880042977,0.6059161974344338,-0.8378366768858784,1.169988146502507
"r_sis[912760344,Intercept]",-0.12347334651185748,0.43182396955436475,-0.8178904505168069,0.6064366022566287
"r_sis[912761916,Intercept]",0.8900017220968175,0.4772598094200097,0.12805468180282295,1.6980608868305418
"r_sis[912765161,Intercept]",0.27635397737751816,0.4989157784790762,-0.5464901383946889,1.1020754259580836
"r_sis[912766694,Intercept]",-0.3422157659301874,0.4433618061227872,-1.0566105808440527,0.4068676856147438
"r_sis[912767509,Intercept]",-0.3069750114453017,0.6404584553759327,-1.3602146292837936,0.7718203041299816
"r_sis[912770606,Intercept]",-0.05712221820473129,0.39816572206464734,-0.6887660381587717,0.5984726452821832
"r_sis[912770910,Intercept]",-0.15051850845436315,0.5248358198239644,-0.9817519896405796,0.7315297335302213
"r_sis[912770936,Intercept]",-0.16848734170625113,0.4283861251482975,-0.8706906215985147,0.5561260480203074
"r_sis[912777560,Intercept]",0.2782357750754393,0.49808696358813204,-0.5400033604400902,1.1152407184444302
"r_sis[912787398,Intercept]",0.3404605870830142,0.4919525941944754,-0.45133734230038136,1.167177089717481
"r_sis[912788960,Intercept]",-0.9240230745098406,0.45806827207113704,-1.6633171722769338,-0.16331578384306522
"r_sis[912798086,Intercept]",0.4828953051683481,0.5290115561880654,-0.37851144621687066,1.3655139520121133
"r_sis[912798934,Intercept]",0.1670556947941475,0.5395989677483335,-0.7018531086383166,1.0742311373265012
"r_sis[912801119,Intercept]",0.04432592118476303,0.48619487465705774,-0.7300211773390954,0.8509731500631976
