term,estimate,std.error,lower,upper
b_Intercept,3.978028812146446,0.08138300703190952,3.844809297148213,4.110923027942357
b_courseSPA_2,0.020946922159820268,0.05880357047121366,-0.077617860583697,0.11902864196950755
b_courseSPA_3,0.13403076037376424,0.058655992187827924,0.03961158056077632,0.23249741984551156
b_languageother,0.2882783119876606,0.12400543069978379,0.08955508841324857,0.49090745860180635
b_languagetype_1,0.5418883397908677,0.09911862393742842,0.3801334046899526,0.7037683737391235
b_languagetype_2,-0.18367852617857403,0.10872520414287633,-0.36161197778089604,-0.00433193909081677
b_stud_gendF,-0.003001959225135193,0.06162383756746954,-0.10559697873192322,0.09770137157601441
b_regularityopaque,-0.8352110910863599,0.0528854300811011,-0.9221023062742268,-0.7477067007438677
b_regularityreverse,-1.286296303402845,0.08401389571184194,-1.4238715098074404,-1.149648655232367
b_span,-0.29428498710996215,0.018586258528801313,-0.3243980860860101,-0.26332588786414285
b_gend_headFem,-1.6094177449450195,0.054879388583676726,-1.6994580175146021,-1.5205891813268504
b_gend_depFem,0.982202288955255,0.05444837009825793,0.8894452063912206,1.0732585943817852
b_pos_headADJ,-0.7386960389065585,0.0710620006320551,-0.8548334018452466,-0.6207538283173617
b_pos_headDET,-1.3839250270475039,0.09266116863974229,-1.5359113502777166,-1.232807928985897
b_pos_headPRON,-0.77468187167359,0.21770022771205244,-1.1228037051512079,-0.408522311796874
b_pos_headPROPN,-1.6255015539895046,0.15301074349887775,-1.8728192865655668,-1.3721738484873662
b_pos_depMUADJMU,-0.6715938675053935,0.18383257109092105,-0.9715390186051073,-0.36237999567747425
b_pos_depADJ,-0.5062024480474198,0.06356176729071947,-0.6084146339723147,-0.4012997227869989
b_pos_depNOUN,-1.1495025545844528,0.08723469237336022,-1.2987463208804444,-1.0056001904084748
b_pos_depPRON,-0.5119939538251496,0.1361622767985649,-0.7376159730636693,-0.2911061210791338
b_pos_depPROPN,-0.7829480181685612,0.08668801396576384,-0.9231279331010399,-0.6427008054104211
sd_sis__Intercept,0.6339160129632005,0.032744618028202346,0.5806030406654096,0.6877955673052145
"r_sis[912000868,Intercept]",0.2877742179947924,0.5571044691069792,-0.6098050503263883,1.2251245873317207
"r_sis[912005290,Intercept]",0.25112004361739604,0.5603397561647998,-0.6527733687970074,1.1723785825374042
"r_sis[912011022,Intercept]",0.0073566620995977605,0.5263774325356172,-0.8450618540696209,0.8901042544697815
"r_sis[912015280,Intercept]",-0.10694003630373593,0.5117510608062976,-0.9114802867160998,0.7591979703459681
"r_sis[912025018,Intercept]",0.13517412476819374,0.47889385904992493,-0.6255954441084517,0.9417154627098525
"r_sis[912065638,Intercept]",0.03475307242170015,0.5752309700865746,-0.9154573184020218,0.998536502452404
"r_sis[912073358,Intercept]",0.12218558725511483,0.5193047349116089,-0.712343095667219,1.005333137587883
"r_sis[912080765,Intercept]",0.1018391589839466,0.5193601902166075,-0.7301834898236279,0.9793411361047322
"r_sis[912085841,Intercept]",-0.41738675277620846,0.4188420975672693,-1.0897981241798382,0.27395949932585945
"r_sis[912087043,Intercept]",0.3780128143079948,0.5443078981889444,-0.5061748586128348,1.290441854458112
"r_sis[912093875,Intercept]",0.183948453874558,0.46265580814771656,-0.5409000934793688,0.9662136355639142
"r_sis[912114916,Intercept]",0.7390801174137375,0.5093244369314305,-0.0663501252294545,1.5828036374710053
"r_sis[912143699,Intercept]",0.35490107007594546,0.5417990518612779,-0.5186687337645567,1.2699395392038835
"r_sis[912150080,Intercept]",0.7922391037478217,0.4411399924292632,0.0976606564971632,1.5284598163735146
"r_sis[912165732,Intercept]",0.1806516533565055,0.5237853861073424,-0.6583787280139595,1.0412038661683305
"r_sis[912174367,Intercept]",-0.2079022948285469,0.4323295790386863,-0.9200018382259738,0.5144787474434438
"r_sis[912181923,Intercept]",0.2128347104186539,0.5401926469262063,-0.648653273493406,1.114280933240641
"r_sis[912197234,Intercept]",0.2930841666160161,0.45511313780762097,-0.43954291550700847,1.0429454530100972
"r_sis[912201463,Intercept]",0.29075967898758265,0.569614163297996,-0.6230632387465032,1.2409712118223213
"r_sis[912204570,Intercept]",0.3980076811905008,0.561165440657279,-0.5072933514264716,1.3402286880149739
"r_sis[912214502,Intercept]",0.7817051877446505,0.4961778777092628,-0.01053502386421734,1.6133995654642075
"r_sis[912232542,Intercept]",0.1517843741307243,0.5399572370710979,-0.7193066185159003,1.0604905678206964
"r_sis[912246460,Intercept]",-0.928019031126243,0.4870593660168239,-1.7079493996201822,-0.10862466856127932
"r_sis[912252577,Intercept]",0.21373515032445434,0.5854667463108745,-0.7517771173701466,1.2106171445939846
