term,estimate,std.error,lower,upper
b_Intercept,4.788225998748022,0.19394095537997894,4.470448305680217,5.110865911420016
b_sem_typeloc,-1.9913594751157968,0.18241640957758518,-2.2951049230814173,-1.69301626539195
b_sem_typeprog,-0.9069566052075029,0.2439465224788255,-1.3002163146486918,-0.5049728840932752
b_sem_typetemp,-4.627114562771299,0.19073434015908036,-4.941774675865862,-4.311268206115882
b_courseSPA002,0.7225432141290502,0.15769366290988854,0.4617471844763595,0.9795631244749051
b_courseSPA003,0.25631097284734056,0.17337762044675117,-0.024918128014007414,0.5431575720292728
b_languageother,0.17035360378849426,0.276235148095305,-0.2836185410788079,0.6162916097547212
b_languagetype_1,0.3233352090546316,0.21998982001043046,-0.04008386242208815,0.6921106653800774
b_languagetype_2,0.24105747412350492,0.31803605077250535,-0.2866598892944788,0.767701322472173
sd_sis__Intercept,1.3804584344552113,0.0958272156174199,1.2287072636309924,1.545501122845922
"r_sis[912000868,Intercept]",0.3694095800997518,1.2167995607370763,-1.5645940705891304,2.4974003026114
"r_sis[912005290,Intercept]",0.802949393782455,1.0765152545559975,-0.8447576032153711,2.7212478719213586
"r_sis[912011022,Intercept]",0.04770047111642002,1.3836548910871422,-2.2840968284269816,2.2946393324789205
"r_sis[912015280,Intercept]",1.077188030115771,1.0368603604109004,-0.5395882572670792,2.852297528030668
"r_sis[912065638,Intercept]",-0.2635514933413424,0.9891876615491922,-1.8468439246385369,1.4508239792310627
"r_sis[912073358,Intercept]",-0.9938319217465469,1.0807355604135487,-2.6657529875992356,0.8587438115850332
"r_sis[912080765,Intercept]",-0.38382717402403765,0.8286741889014868,-1.7064144587710732,1.0558807049637875
"r_sis[912085841,Intercept]",0.11766769503976557,1.257990313410746,-1.9048708124228984,2.197526844971584
"r_sis[912087043,Intercept]",-0.3674005732566372,1.0101232648646665,-1.9668277282684627,1.3285423157871465
"r_sis[912093875,Intercept]",-0.6400513923200409,0.969369157207144,-2.1398596052706336,1.0700188603208214
"r_sis[912114916,Intercept]",0.6294665911219337,1.158853226467049,-1.1960822391469226,2.614624540970288
"r_sis[912143699,Intercept]",0.24201816219297814,1.2585148662302943,-1.795820165662943,2.3664906078868384
"r_sis[912150080,Intercept]",1.3880038578470655,1.0450149441516277,-0.26277579083731,3.1930606625279228
"r_sis[912197234,Intercept]",0.04074505073906989,1.3474605502030117,-2.2140854920261384,2.273954824288208
"r_sis[912201463,Intercept]",0.059456477958246094,1.3682827860327285,-2.138297271043407,2.4012065790887265
"r_sis[912204570,Intercept]",0.3319695601818825,1.2539011700842866,-1.6269049346916375,2.501467705979767
"r_sis[912214502,Intercept]",0.11263056515429094,1.3136495581115704,-2.0515061166943642,2.31040126998971
"r_sis[912232542,Intercept]",-0.7267567049156657,1.149687209899487,-2.626909469315197,1.1980302424386273
"r_sis[912246460,Intercept]",0.18277326396048896,1.3209314668034398,-1.974355683640715,2.362774662961458
"r_sis[912252577,Intercept]",0.31833616920525487,1.231535539669269,-1.6568492803599884,2.425154313791185
"r_sis[912271396,Intercept]",0.10250334233743331,1.3452485030785655,-2.1038680621151795,2.3349705195611716
"r_sis[912280565,Intercept]",0.2920407257802549,1.206834317111514,-1.6264030223455266,2.3504940515895054
"r_sis[912301716,Intercept]",0.23632087014536227,1.286802939309901,-1.7862224994496596,2.409397352438135
"r_sis[912307150,Intercept]",0.5403422711774857,1.1485082266383868,-1.255708859879301,2.536066300487981
"r_sis[912308531,Intercept]",0.6981302799135773,1.1095922567406242,-1.0328890733083256,2.631122500165086
"r_sis[912309365,Intercept]",0.46790509536572444,1.163945632357404,-1.359934377023134,2.4583249457005882
"r_sis[912314198,Intercept]",0.24733814377629418,1.2843729338157517,-1.787571484689192,2.38264854309432
"r_sis[912330965,Intercept]",0.23978426125321223,1.28988603652048,-1.8429645619273562,2.4190262718256883
"r_sis[912331689,Intercept]",0.3201856233751202,1.2389142044719748,-1.6265075664658737,2.4510384889893007
"r_sis[912598176,Intercept]",-1.642041836055618,0.7834082318445906,-2.8912074942650072,-0.3468957359661126
"r_sis[912650881,Intercept]",-0.33698419474869884,0.8253055068236147,-1.6490695141120568,1.0815683499552444
"r_sis[912651851,Intercept]",0.727160554576078,1.1714574000977866,-1.0747245543573947,2.737035141209772
"r_sis[912659691,Intercept]",0.1451604700853707,1.3106186570999994,-2.0046206625763894,2.3397835306948855
"r_sis[912667913,Intercept]",0.23156335221949798,1.24139896181649,-1.768607252879074,2.350902783822111
"r_sis[912672416,Intercept]",0.794123983908194,1.1331667004036676,-0.9551888999574181,2.731936117957707
"r_sis[912679370,Intercept]",0.041826918194413046,0.9884522362708081,-1.565976046931424,1.7138749344002948
"r_sis[912685649,Intercept]",-0.5109170255495302,1.0611531632452735,-2.2611119079405064,1.2835039984912728
"r_sis[912688439,Intercept]",0.2471898504215809,1.2813442230101586,-1.7692508628534416,2.4086274688263583
"r_sis[912692483,Intercept]",0.8983100690720521,1.1041302773138095,-0.8507091768327848,2.7842833875773887
"r_sis[912695286,Intercept]",-0.5982451826967619,1.0348510947949778,-2.2611484956347976,1.1432941035914577
"r_sis[912695532,Intercept]",0.3512812157789355,1.238823029125286,-1.5795393335988253,2.4423483785930924
"r_sis[912697284,Intercept]",0.04426986780573097,0.9657157909571756,-1.4929143413321722,1.6898517524079193
"r_sis[912699677,Intercept]",-0.254677578376334,0.9740848103754634,-1.7634972782940797,1.3492008488757992
"r_sis[912702904,Intercept]",0.7075802808509953,1.1491189518750768,-1.1081333483479314,2.63478710425723
"r_sis[912708966,Intercept]",-0.18806612322166355,1.0470280774821712,-1.9119965298720127,1.575456649663387
"r_sis[912712156,Intercept]",-0.2539161966454155,0.9227165752381667,-1.698016190091712,1.3380818447112246
"r_sis[912719609,Intercept]",0.060220220038701325,1.3525436199704002,-2.135913966693884,2.331902152304957
"r_sis[912721998,Intercept]",0.007126131531451287,1.372834096459619,-2.229093400018529,2.26203330284151
"r_sis[912722502,Intercept]",-0.6681422325103854,1.1386517886211729,-2.5376736017701216,1.2063211612971683
"r_sis[912723941,Intercept]",0.2137208857853039,1.2502826736042698,-1.7591144759502955,2.3256181939036167
"r_sis[912725198,Intercept]",-0.563811931534418,1.0904525980804183,-2.335410426240083,1.277859704823353
"r_sis[912743918,Intercept]",0.5542542555097318,1.1812647195919657,-1.2890591692559341,2.592064588223909
"r_sis[912760344,Intercept]",0.3308519238421313,0.938372492912773,-1.1375102414921174,1.9039224818948812
"r_sis[912761916,Intercept]",0.9604788138372049,1.0822045675065715,-0.7306668865889999,2.841476547035036
"r_sis[912765161,Intercept]",1.0758089329711953,1.0621775217607328,-0.585921480766049,2.887431341247567
"r_sis[912766694,Intercept]",-0.8716004803195545,1.050814801428293,-2.4813939772293923,0.9856932261969544
"r_sis[912770606,Intercept]",0.26473218920851344,1.2764285645914828,-1.7716600877928437,2.419658579047368
"r_sis[912770910,Intercept]",0.6692137412760555,1.1540357981056546,-1.133067310688923,2.641956363167011
"r_sis[912770936,Intercept]",0.09080176015794399,1.3365103606173419,-2.1200380176727593,2.362750785878958
"r_sis[912777560,Intercept]",0.0363348324551865,1.373316588126199,-2.2093819421438163,2.2569728594059058
"r_sis[912788960,Intercept]",0.3319691674879183,1.237875875994402,-1.6274749581662684,2.4622049092606964
"r_sis[912798086,Intercept]",-0.34876342744014643,0.8137999109058619,-1.6718647359054506,1.020844855768223
"r_sis[912798934,Intercept]",-2.6252193989075088,0.7033376280631646,-3.7427481606684094,-1.4521183368106843
"r_sis[912801119,Intercept]",0.108134012221205,1.363531045369602,-2.1259821036758453,2.392860531410347
"r_sis[912801151,Intercept]",0.4258323618185916,1.1737999848298735,-1.4109148257305737,2.452479159545221
"r_sis[912802765,Intercept]",-0.022083177710612852,1.0086558211943124,-1.6460506267217825,1.6256345948087834
"r_sis[912811387,Intercept]",0.0849605956894531,1.3236093442537602,-2.072800270343699,2.2827578886629376
"r_sis[912811426,Intercept]",0.06791061896182124,1.379746297219125,-2.1174583281064723,2.330891049230433
"r_sis[912812043,Intercept]",-2.592932537367906,0.8362227057384913,-3.9491741483807736,-1.1567515597645854
"r_sis[912817297,Intercept]",-0.3131136658622615,0.9801013054844196,-1.877460139083402,1.3313367117432102
"r_sis[912821678,Intercept]",0.15121438672259366,1.3129620983570713,-1.9199745596898383,2.35136399584799
"r_sis[912830562,Intercept]",0.833330726459971,1.0806256512824686,-0.8901669912264966,2.678053256260485
"r_sis[912832609,Intercept]",0.6963447035308072,1.120462234261084,-1.0392672082201773,2.6417556134963966
"r_sis[912841014,Intercept]",0.27042650969462273,1.2354511845211416,-1.6633947527810526,2.397068124138384
"r_sis[912847128,Intercept]",1.085743759053572,1.0972451750967152,-0.6476286762300976,2.944308809942529
"r_sis[912858997,Intercept]",0.5224987590560534,1.2099977641081565,-1.3933311429253565,2.586590058690629
"r_sis[912859255,Intercept]",0.03428688664479494,1.351459465736282,-2.1603982218192552,2.284508716058961
"r_sis[912866918,Intercept]",0.22423859760110312,1.2791574019540888,-1.8375135542107033,2.3892810145127616
"r_sis[912877936,Intercept]",0.2534556716109893,1.2741660725472994,-1.7699003674454565,2.4238987224408777
"r_sis[912878401,Intercept]",-0.6261247510254022,1.1136979984327866,-2.479289641367835,1.2736244186386219
"r_sis[912880402,Intercept]",0.34127802995899026,1.20549025786752,-1.5645004623314618,2.3834306931497813
"r_sis[912883072,Intercept]",-1.412412724899075,1.242835554299908,-3.4216794275697526,0.6571626389491158
"r_sis[912883360,Intercept]",-1.02251742251134,1.0985107853271965,-2.754545153754825,0.849078150937136
"r_sis[912884602,Intercept]",-1.393534016526894,0.9745586701699811,-3.039670374901571,0.18288489614386397
"r_sis[912893020,Intercept]",0.2068910368020278,1.2341546993474106,-1.7861410844681127,2.2979749677570735
"r_sis[912902005,Intercept]",-2.0842667976488514,0.9728789797026307,-3.671329450631794,-0.49001145255411477
"r_sis[912907754,Intercept]",0.6981423451069274,1.1790575612752066,-1.1657183134254714,2.6885899810249705
"r_sis[912913007,Intercept]",0.4432702664218789,1.23270885862447,-1.507862941482495,2.602345273073703
"r_sis[912933113,Intercept]",0.22923429172065965,1.2973297058742226,-1.8161221851648568,2.4225792056582973
"r_sis[912939269,Intercept]",0.6662590709702799,1.1811445825002564,-1.1847975173750742,2.7159606240785643
"r_sis[912940119,Intercept]",0.4032748746412249,1.1818332690337205,-1.462632030070019,2.425216363984682
"r_sis[912941176,Intercept]",0.672922912179724,1.1288140303410108,-1.1492813039681393,2.5635775906258775
"r_sis[912943284,Intercept]",0.4630431902779799,1.162634537852149,-1.3382451208664126,2.455262511276476
"r_sis[912946728,Intercept]",0.5240236825904971,1.199470821710614,-1.360751616353304,2.620583165729591
"r_sis[912949686,Intercept]",0.7340922991512857,1.1334819019951483,-1.0413390803983,2.603199070036033
"r_sis[912955845,Intercept]",0.9793596359053511,1.1017912540371881,-0.800528161296135,2.904685770214022
"r_sis[912961855,Intercept]",0.2829996456448723,1.2533629698747533,-1.7047695863064187,2.387425589427743
"r_sis[912961965,Intercept]",0.3066026423698716,0.9591652983123248,-1.2204068667130312,1.905755669752907
"r_sis[912967503,Intercept]",-0.1454464557829623,0.9993074849049856,-1.7251521971159494,1.5283697612570073
"r_sis[912969527,Intercept]",-0.6294699048369434,1.0684221419629258,-2.345581462815123,1.1477369094396201
"r_sis[912996202,Intercept]",-0.4546708094451047,1.0265490022507806,-2.123228165202441,1.2538572439796984
"r_sis[913002713,Intercept]",0.6206370559846293,1.1541011818541589,-1.2017407713613724,2.5637386729663656
"r_sis[913007271,Intercept]",1.3268266498064105,0.9964773578340373,-0.2154476378624142,3.0540981669144225
"r_sis[913007446,Intercept]",0.24082954992450142,1.241617466895046,-1.735678070933116,2.348092162241024
"r_sis[913012460,Intercept]",-1.095347372139834,1.0891314211453613,-2.8084101320696244,0.7938578725125884
"r_sis[913015823,Intercept]",0.648680985779599,1.113756984232515,-1.1025285502981872,2.5725066632963567
"r_sis[913019638,Intercept]",0.35423604080560467,1.2119464535249322,-1.587448732123099,2.4254320717730184
"r_sis[913024746,Intercept]",0.7182422462255171,1.1275516676880308,-1.0813244398391657,2.6565383637887634
"r_sis[913028865,Intercept]",-3.3417073511771473,0.8966933170385578,-4.820819698317058,-1.9241895326418599
"r_sis[913029495,Intercept]",-1.3136389759914595,0.8838867152544634,-2.752049904983596,0.22295758148605033
"r_sis[913033698,Intercept]",0.5433908764634262,0.7136751126010895,-0.5730331613891323,1.7494090134911475
"r_sis[913035065,Intercept]",0.8290063719282932,1.1248495062492139,-0.9393012179589704,2.7552233793236685
"r_sis[913037555,Intercept]",-0.7643126799809976,0.8948283775100228,-2.1689442593468335,0.7718507710801008
"r_sis[913038033,Intercept]",0.26699966810994236,1.3021752975906007,-1.8145553016136546,2.466509520800546
"r_sis[913040364,Intercept]",0.25858030708167684,0.9150142959727743,-1.172128597966899,1.8205578979637074
"r_sis[913044234,Intercept]",0.07039389751016951,1.3363788040699192,-2.100637841999579,2.287601888305344
"r_sis[913048078,Intercept]",0.6261105123961993,1.1769267343861234,-1.2012547564000904,2.6666541320963466
"r_sis[913048515,Intercept]",0.6725118516539228,1.0910293799871082,-1.033673603072106,2.5284152856811066
"r_sis[913050286,Intercept]",0.20459500393352384,1.2994532869929047,-1.842010267995469,2.384107082608588
"r_sis[913054509,Intercept]",0.18112095637463488,0.9174957883907896,-1.239604470637839,1.7199255290425595
"r_sis[913068139,Intercept]",0.3872484235015912,1.1862053796952532,-1.5168921185634952,2.410415985919419
"r_sis[913076082,Intercept]",-1.7076801159873114,0.8885222835192067,-3.0798853679295037,-0.16330802259875893
"r_sis[913079775,Intercept]",-1.218810364485204,1.0708829882760023,-2.995244250051088,0.49732277322814544
"r_sis[913079814,Intercept]",0.6269145634729458,1.1805171701908528,-1.3159954875995188,2.610491600469247
"r_sis[913080049,Intercept]",0.26423592768242166,1.207373419826802,-1.6192203986395775,2.3001594356162327
"r_sis[913092286,Intercept]",-1.0330039493697132,1.0744889650849219,-2.705747111081539,0.7942574167301056
"r_sis[913093146,Intercept]",-0.23345509012352755,0.8595869854869111,-1.623296013281927,1.2050697618744761
"r_sis[913093243,Intercept]",0.06898615862946762,1.3444156097644984,-2.0533291929597675,2.306063050065337
"r_sis[913105089,Intercept]",-0.31719065810564673,0.941959930459297,-1.781548353613342,1.277621298327033
"r_sis[913106541,Intercept]",0.27067104755857413,1.222004184848275,-1.7053052221465037,2.365726794483931
"r_sis[913109522,Intercept]",-0.5122154037224017,1.023472409624289,-2.1551889155903674,1.199733059427461
"r_sis[913112412,Intercept]",-0.8029096730175369,1.0278261259662878,-2.398137175618454,0.9688669111140288
"r_sis[913118649,Intercept]",-0.3624408647484263,1.0516254491540304,-2.0502565469973746,1.434113937724513
"r_sis[913119279,Intercept]",0.6840785007388389,1.1305165137650772,-1.1235266427101867,2.6068826405738803
"r_sis[913122790,Intercept]",0.5385105313803918,1.1523129079782228,-1.2359196570200819,2.482439613670434
"r_sis[913124578,Intercept]",-2.113289445079129,0.7140440765637033,-3.2614349963296543,-0.9051139611416207
"r_sis[913127847,Intercept]",-0.44765176712590443,1.0578717768523695,-2.1255948152273696,1.3663331130203404
"r_sis[913128260,Intercept]",0.7560027766242464,1.1075574062972773,-1.0301500246022923,2.62384789318442
"r_sis[913138894,Intercept]",-0.7160174876233288,1.0225593983096604,-2.2862012891830945,1.0540731792464848
"r_sis[913139453,Intercept]",0.3576299242759936,1.229859346790683,-1.5920102009111972,2.414832294222808
"r_sis[913140934,Intercept]",0.01801838440560238,1.380129048039512,-2.2305501854988075,2.300231454865855
"r_sis[913145036,Intercept]",-1.4687047805193034,0.8644510452252584,-2.82899490363927,0.024020462334088107
"r_sis[913150568,Intercept]",1.1567095147095485,1.0418474988216813,-0.4647580830063541,2.953497394487083
"r_sis[913172070,Intercept]",0.20119769579593558,1.2753925948810565,-1.8749172662426552,2.3574307560086933
"r_sis[913175006,Intercept]",0.8284938982719754,1.0927876965948875,-0.9249359322966747,2.6968119508489843
"r_sis[913183920,Intercept]",0.7545690959813302,1.1393312157895952,-0.9983397932818651,2.6686343967824997
"r_sis[913185300,Intercept]",0.7450740793393117,1.1240147906984475,-1.0766929736265132,2.624447989117348
"r_sis[913191129,Intercept]",0.8079763132634574,1.1029783519260907,-0.9209861724444657,2.711720818522474
"r_sis[913196865,Intercept]",0.29270062900933186,1.252729992236516,-1.6637195604172141,2.4752972203981263
"r_sis[913200502,Intercept]",-0.17843115395862089,0.9826489241942071,-1.7122474551996048,1.4890945935942401
"r_sis[913210495,Intercept]",-1.3635237669660798,1.155258034068522,-3.1872079744499975,0.5452540129845844
"r_sis[913224834,Intercept]",0.5917678673551456,1.1709688690929376,-1.2836323671620615,2.60320303996386
"r_sis[913225736,Intercept]",0.3977042295997374,1.2221316537282638,-1.500462965721546,2.4822743456256746
"r_sis[913232185,Intercept]",-1.1555913045571018,1.10059740473511,-2.916241197575129,0.7214315376898642
"r_sis[913232389,Intercept]",0.37922244536802274,1.2166635010045899,-1.5538096718363814,2.4152515378894854
"r_sis[913238477,Intercept]",0.40079070691169494,1.163211542537055,-1.455514118647411,2.352386831469581
"r_sis[913239049,Intercept]",-1.0721268035939837,1.1315243794731136,-2.8881766113041993,0.7770743972647419
"r_sis[913248344,Intercept]",-1.113669234696521,0.9149776335205785,-2.5775870522854514,0.42076718042305394
